Date,vixo,vixh,vixl,vix,vxoo,vxoh,vxol,vxo,vxno,vxnh,vxnl,vxn,vxdo,vxdh,vxdl,vxd
19860102,,,,,17.93,18.71,17.40,18.07,,,,,,,,
19860103,,,,,19.04,19.10,17.72,17.96,,,,,,,,
19860106,,,,,17.99,18.17,17.05,17.05,,,,,,,,
19860107,,,,,18.01,18.11,17.30,17.39,,,,,,,,
19860108,,,,,18.04,21.15,16.63,19.97,,,,,,,,
19860109,,,,,19.11,21.66,19.11,20.20,,,,,,,,
19860110,,,,,20.69,21.44,18.35,18.45,,,,,,,,
19860113,,,,,18.91,19.57,18.29,18.80,,,,,,,,
19860114,,,,,18.60,18.68,17.67,18.06,,,,,,,,
19860115,,,,,18.46,18.87,17.25,18.87,,,,,,,,
19860116,,,,,18.83,19.48,18.29,18.58,,,,,,,,
19860117,,,,,19.45,19.87,17.99,17.99,,,,,,,,
19860120,,,,,18.15,18.49,16.78,17.09,,,,,,,,
19860121,,,,,17.38,17.61,16.01,16.86,,,,,,,,
19860122,,,,,17.16,17.52,16.29,16.66,,,,,,,,
19860123,,,,,17.32,17.48,16.76,17.14,,,,,,,,
19860124,,,,,17.46,17.67,16.83,17.22,,,,,,,,
19860127,,,,,17.36,18.11,17.01,17.38,,,,,,,,
19860128,,,,,17.71,18.24,17.45,17.47,,,,,,,,
19860129,,,,,18.55,19.09,17.84,18.76,,,,,,,,
19860130,,,,,19.60,19.96,19.01,19.12,,,,,,,,
19860131,,,,,19.45,20.52,19.08,19.58,,,,,,,,
19860203,,,,,20.61,20.75,19.01,19.41,,,,,,,,
19860204,,,,,19.86,21.24,19.78,20.82,,,,,,,,
19860205,,,,,20.76,21.68,20.63,20.72,,,,,,,,
19860206,,,,,21.49,22.08,20.92,21.07,,,,,,,,
19860207,,,,,21.77,22.63,18.71,22.12,,,,,,,,
19860210,,,,,21.14,21.34,20.39,20.40,,,,,,,,
19860211,,,,,21.12,21.25,20.23,20.23,,,,,,,,
19860212,,,,,20.82,20.86,19.38,19.53,,,,,,,,
19860213,,,,,20.02,20.26,18.13,18.13,,,,,,,,
19860214,,,,,19.31,19.56,17.88,17.96,,,,,,,,
19860218,,,,,19.67,20.95,19.35,19.79,,,,,,,,
19860219,,,,,20.38,21.42,19.91,20.72,,,,,,,,
19860220,,,,,20.50,21.81,20.50,20.76,,,,,,,,
19860221,,,,,21.16,21.73,20.61,21.27,,,,,,,,
19860224,,,,,21.58,22.31,21.02,21.52,,,,,,,,
19860225,,,,,21.95,22.61,21.58,22.05,,,,,,,,
19860226,,,,,22.81,22.96,22.09,22.38,,,,,,,,
19860227,,,,,22.29,23.01,21.11,21.39,,,,,,,,
19860228,,,,,21.65,22.36,21.06,21.59,,,,,,,,
19860303,,,,,21.88,22.16,21.09,21.17,,,,,,,,
19860304,,,,,21.84,22.07,19.88,19.94,,,,,,,,
19860305,,,,,20.76,21.13,20.08,20.42,,,,,,,,
19860306,,,,,21.21,22.40,21.21,21.66,,,,,,,,
19860307,,,,,22.02,22.56,21.32,21.39,,,,,,,,
19860310,,,,,22.30,22.63,21.30,21.49,,,,,,,,
19860311,,,,,22.01,22.39,21.02,21.87,,,,,,,,
19860312,,,,,21.93,23.72,21.80,23.14,,,,,,,,
19860313,,,,,23.93,25.08,23.42,24.29,,,,,,,,
19860314,,,,,25.01,25.52,23.78,24.83,,,,,,,,
19860317,,,,,26.19,26.49,25.39,25.45,,,,,,,,
19860318,,,,,26.47,26.95,25.48,26.27,,,,,,,,
19860319,,,,,26.55,26.79,25.13,25.82,,,,,,,,
19860320,,,,,26.87,27.52,26.33,26.52,,,,,,,,
19860321,,,,,27.13,27.49,25.85,26.91,,,,,,,,
19860324,,,,,26.02,26.27,23.27,24.01,,,,,,,,
19860325,,,,,25.12,25.70,24.29,24.40,,,,,,,,
19860326,,,,,25.02,25.62,24.42,24.81,,,,,,,,
19860327,,,,,24.94,25.12,22.73,23.56,,,,,,,,
19860331,,,,,24.39,24.54,23.09,23.33,,,,,,,,
19860401,,,,,24.15,24.93,21.37,24.70,,,,,,,,
19860402,,,,,25.08,25.72,23.43,24.21,,,,,,,,
19860403,,,,,24.56,24.96,23.56,24.66,,,,,,,,
19860404,,,,,25.26,25.26,23.78,23.97,,,,,,,,
19860407,,,,,24.27,24.27,23.07,23.52,,,,,,,,
19860408,,,,,23.99,24.52,23.29,24.08,,,,,,,,
19860409,,,,,24.75,25.31,23.65,23.65,,,,,,,,
19860410,,,,,25.26,25.80,24.05,24.08,,,,,,,,
19860411,,,,,25.27,25.48,23.68,23.84,,,,,,,,
19860414,,,,,24.58,24.85,23.07,23.07,,,,,,,,
19860415,,,,,24.19,24.71,23.25,23.79,,,,,,,,
19860416,,,,,23.94,24.15,22.44,22.94,,,,,,,,
19860417,,,,,23.91,24.06,22.51,22.72,,,,,,,,
19860418,,,,,23.12,23.12,21.15,21.45,,,,,,,,
19860421,,,,,21.66,22.62,20.63,21.06,,,,,,,,
19860422,,,,,21.99,22.31,20.94,21.68,,,,,,,,
19860423,,,,,22.21,22.80,21.36,21.40,,,,,,,,
19860424,,,,,22.47,23.28,21.75,22.28,,,,,,,,
19860425,,,,,22.72,23.37,22.19,22.27,,,,,,,,
19860428,,,,,23.30,23.40,22.17,22.57,,,,,,,,
19860429,,,,,22.35,23.81,21.98,22.71,,,,,,,,
19860430,,,,,22.86,23.02,21.67,21.69,,,,,,,,
19860501,,,,,22.18,22.94,21.61,21.92,,,,,,,,
19860502,,,,,22.31,22.61,20.48,20.73,,,,,,,,
19860505,,,,,21.46,21.56,20.49,20.57,,,,,,,,
19860506,,,,,21.17,21.60,19.44,20.76,,,,,,,,
19860507,,,,,21.13,21.21,19.94,20.31,,,,,,,,
19860508,,,,,20.78,21.04,19.88,19.90,,,,,,,,
19860509,,,,,20.59,20.61,19.05,19.14,,,,,,,,
19860512,,,,,19.57,20.07,18.77,19.42,,,,,,,,
19860513,,,,,20.13,20.13,18.60,19.48,,,,,,,,
19860514,,,,,19.18,19.81,17.35,19.42,,,,,,,,
19860516,,,,,18.96,19.41,17.73,18.11,,,,,,,,
19860519,,,,,17.89,18.29,17.37,17.79,,,,,,,,
19860520,,,,,17.79,18.08,16.81,17.28,,,,,,,,
19860521,,,,,17.68,17.78,16.58,16.87,,,,,,,,
19860522,,,,,17.07,17.67,16.64,16.99,,,,,,,,
19860523,,,,,17.27,17.55,16.47,16.74,,,,,,,,
19860527,,,,,17.49,17.63,16.73,16.92,,,,,,,,
19860528,,,,,17.25,18.69,17.18,17.75,,,,,,,,
19860529,,,,,18.35,18.86,17.93,18.76,,,,,,,,
19860530,,,,,18.84,19.33,15.75,18.89,,,,,,,,
19860602,,,,,18.55,18.93,17.36,18.28,,,,,,,,
19860603,,,,,18.78,18.92,18.12,18.55,,,,,,,,
19860604,,,,,18.66,19.09,18.32,18.48,,,,,,,,
19860605,,,,,18.66,19.15,18.20,18.20,,,,,,,,
19860606,,,,,18.74,19.18,18.27,18.40,,,,,,,,
19860609,,,,,18.94,19.34,18.20,18.64,,,,,,,,
19860610,,,,,18.62,21.16,17.88,18.32,,,,,,,,
19860611,,,,,18.93,19.25,18.41,18.66,,,,,,,,
19860612,,,,,19.02,19.23,18.47,18.52,,,,,,,,
19860613,,,,,18.83,19.72,18.15,18.65,,,,,,,,
19860616,,,,,18.53,19.22,18.13,18.66,,,,,,,,
19860617,,,,,19.42,19.83,18.61,18.88,,,,,,,,
19860618,,,,,19.30,19.90,18.50,18.72,,,,,,,,
19860619,,,,,19.65,20.17,19.01,19.12,,,,,,,,
19860620,,,,,19.49,20.03,18.79,19.09,,,,,,,,
19860623,,,,,19.17,19.25,18.09,18.31,,,,,,,,
19860624,,,,,18.79,19.68,18.35,18.79,,,,,,,,
19860625,,,,,19.23,19.47,18.47,18.65,,,,,,,,
19860626,,,,,18.91,19.48,18.56,18.76,,,,,,,,
19860627,,,,,19.02,19.35,18.57,18.57,,,,,,,,
19860630,,,,,19.17,19.17,18.14,18.31,,,,,,,,
19860701,,,,,18.72,18.84,17.80,17.85,,,,,,,,
19860702,,,,,18.44,18.60,17.37,17.40,,,,,,,,
19860703,,,,,18.21,18.21,17.39,17.56,,,,,,,,
19860707,,,,,18.54,19.49,17.99,18.87,,,,,,,,
19860708,,,,,18.50,21.36,18.50,19.27,,,,,,,,
19860709,,,,,19.68,20.01,19.02,19.36,,,,,,,,
19860710,,,,,19.64,20.56,18.65,19.27,,,,,,,,
19860711,,,,,19.93,20.35,18.97,19.26,,,,,,,,
19860714,,,,,19.97,20.61,18.15,20.05,,,,,,,,
19860715,,,,,20.43,23.59,19.67,20.92,,,,,,,,
19860716,,,,,21.73,22.02,20.72,21.16,,,,,,,,
19860717,,,,,21.66,21.94,21.00,21.28,,,,,,,,
19860718,,,,,21.90,22.21,19.84,21.59,,,,,,,,
19860721,,,,,21.65,21.80,20.56,20.76,,,,,,,,
19860722,,,,,21.39,21.47,20.00,20.00,,,,,,,,
19860723,,,,,20.63,20.88,19.73,20.23,,,,,,,,
19860724,,,,,20.30,21.01,19.93,20.12,,,,,,,,
19860725,,,,,20.03,20.49,19.29,19.69,,,,,,,,
19860728,,,,,19.53,20.06,18.56,19.43,,,,,,,,
19860729,,,,,20.13,20.37,18.98,18.98,,,,,,,,
19860730,,,,,19.77,20.30,19.23,19.44,,,,,,,,
19860731,,,,,19.78,20.35,19.33,19.57,,,,,,,,
19860801,,,,,19.91,20.28,19.04,19.38,,,,,,,,
19860804,,,,,19.80,20.20,19.02,19.46,,,,,,,,
19860805,,,,,20.26,20.55,19.54,19.58,,,,,,,,
19860806,,,,,20.23,20.28,19.42,19.60,,,,,,,,
19860807,,,,,20.57,21.04,19.90,20.49,,,,,,,,
19860808,,,,,20.52,20.64,19.84,20.07,,,,,,,,
19860811,,,,,19.88,20.45,19.21,19.42,,,,,,,,
19860812,,,,,19.51,20.00,17.95,18.48,,,,,,,,
19860813,,,,,18.68,19.76,18.26,19.12,,,,,,,,
19860814,,,,,18.74,19.40,18.18,18.58,,,,,,,,
19860815,,,,,18.77,19.14,17.95,17.96,,,,,,,,
19860818,,,,,18.63,18.85,17.75,17.79,,,,,,,,
19860819,,,,,18.58,18.66,17.50,17.75,,,,,,,,
19860820,,,,,18.41,18.99,17.37,17.65,,,,,,,,
19860821,,,,,18.29,18.55,17.64,17.97,,,,,,,,
19860822,,,,,18.35,18.62,17.63,17.87,,,,,,,,
19860825,,,,,18.00,18.29,17.68,17.83,,,,,,,,
19860826,,,,,18.43,18.57,17.20,17.74,,,,,,,,
19860827,,,,,17.71,18.20,17.25,17.71,,,,,,,,
19860828,,,,,18.67,18.72,17.95,18.42,,,,,,,,
19860829,,,,,18.62,18.96,17.98,18.53,,,,,,,,
19860902,,,,,19.21,19.65,18.06,18.61,,,,,,,,
19860903,,,,,19.66,19.69,18.45,18.77,,,,,,,,
19860904,,,,,19.61,19.82,18.85,19.21,,,,,,,,
19860905,,,,,19.74,20.91,19.30,19.73,,,,,,,,
19860908,,,,,20.46,20.97,19.71,19.93,,,,,,,,
19860909,,,,,20.38,20.62,19.41,19.41,,,,,,,,
19860910,,,,,20.66,20.74,19.92,20.02,,,,,,,,
19860911,,,,,20.88,24.19,19.87,23.81,,,,,,,,
19860912,,,,,23.19,28.41,23.18,27.69,,,,,,,,
19860915,,,,,26.00,27.37,24.74,25.75,,,,,,,,
19860916,,,,,26.85,26.85,25.01,25.44,,,,,,,,
19860917,,,,,25.28,25.46,23.31,23.31,,,,,,,,
19860918,,,,,24.05,24.97,23.47,24.25,,,,,,,,
19860919,,,,,23.90,24.56,23.18,23.65,,,,,,,,
19860922,,,,,23.41,23.83,22.58,22.63,,,,,,,,
19860923,,,,,23.92,23.92,22.73,22.95,,,,,,,,
19860924,,,,,23.28,24.01,22.99,23.11,,,,,,,,
19860925,,,,,24.06,26.22,23.70,24.54,,,,,,,,
19860926,,,,,25.35,25.96,24.43,24.62,,,,,,,,
19860929,,,,,25.44,25.79,24.35,24.62,,,,,,,,
19860930,,,,,25.01,25.17,23.73,24.76,,,,,,,,
19861001,,,,,24.76,25.74,24.58,24.88,,,,,,,,
19861002,,,,,24.96,25.70,24.59,24.87,,,,,,,,
19861003,,,,,25.91,27.01,25.45,25.92,,,,,,,,
19861006,,,,,25.85,26.34,24.37,25.11,,,,,,,,
19861007,,,,,26.34,26.66,25.29,25.65,,,,,,,,
19861008,,,,,26.32,26.34,24.99,24.99,,,,,,,,
19861009,,,,,25.11,26.90,24.91,25.46,,,,,,,,
19861010,,,,,25.60,26.10,24.26,24.30,,,,,,,,
19861013,,,,,25.35,25.81,24.65,24.79,,,,,,,,
19861014,,,,,24.51,24.94,23.44,24.04,,,,,,,,
19861015,,,,,24.00,24.07,21.84,22.06,,,,,,,,
19861016,,,,,22.38,23.25,21.54,22.09,,,,,,,,
19861017,,,,,22.54,25.07,21.08,21.16,,,,,,,,
19861020,,,,,21.75,22.23,20.87,21.21,,,,,,,,
19861021,,,,,21.21,21.64,20.75,20.81,,,,,,,,
19861022,,,,,21.30,21.55,20.52,20.64,,,,,,,,
19861023,,,,,20.40,21.08,19.80,20.54,,,,,,,,
